"n1" "eventr" "CoxTPR" "CoxTNR" "LogitTPR" "LogitTNR" "TCoxTPR" "TCoxTNR"
24546 0.462152692903121 0.83 1 0.74 1 0.83 1
26731 0.25094459616176 0.7 1 0.67 1 0.71 1
26488 0.271972213832679 0.79 1 0.76 1 0.79 1
26765 0.24453577433215 0.7 1 0.68 1 0.7 1
24378 0.462466158011322 0.84 1 0.69 1 0.84 1
26671 0.253121367777736 0.73 1 0.69 1 0.73 1
26247 0.314397835943155 0.78 0.999966555183947 0.69 0.999966555183947 0.77 0.999966555183947
24418 0.469776394463101 0.82 1 0.75 1 0.82 1
23344 0.529472241261138 0.75 1 0.71 1 0.74 1
25951 0.351200339100613 0.76 1 0.75 1 0.76 1
26554 0.267153724485953 0.74 1 0.71 1 0.74 1
24616 0.453566785830354 0.87 1 0.79 1 0.86 1
24932 0.41789667896679 0.77 1 0.7 1 0.77 1
24983 0.416243045270784 0.78 1 0.76 1 0.78 1
26657 0.239861949956859 0.75 1 0.7 0.999966555183947 0.74 1
26343 0.299168659605967 0.76 1 0.69 1 0.75 1
26790 0.223404255319149 0.74 1 0.73 1 0.74 1
26422 0.287866172129286 0.79 1 0.76 1 0.79 1
25810 0.359356838434715 0.8 1 0.69 1 0.79 1
26673 0.251902673115135 0.76 1 0.74 1 0.76 1
27079 0.185789726356217 0.71 1 0.68 1 0.7 1
26177 0.316537418344348 0.8 1 0.72 1 0.81 1
23635 0.498667230801777 0.86 1 0.76 1 0.86 1
26870 0.218012653516933 0.75 1 0.7 1 0.75 1
26436 0.280261764260856 0.82 0.999966555183947 0.75 1 0.82 0.999966555183947
24249 0.476926883582828 0.84 1 0.77 0.999966555183947 0.84 1
26108 0.318446453194423 0.83 1 0.78 1 0.83 1
25937 0.34502833789567 0.75 0.999966555183947 0.71 1 0.75 0.999966555183947
27004 0.180491778995704 0.7 1 0.66 1 0.7 1
27059 0.172548874681252 0.69 1 0.67 1 0.69 1
27070 0.174695234577023 0.7 1 0.69 1 0.7 1
26694 0.24960665318049 0.71 1 0.68 1 0.71 1
25736 0.365519117189929 0.78 1 0.74 1 0.78 1
25490 0.38752451941938 0.81 1 0.71 1 0.81 1
26206 0.306151263069526 0.69 0.999966555183947 0.65 1 0.68 0.999966555183947
26802 0.213379598537423 0.64 1 0.63 1 0.65 1
25089 0.419426840448005 0.75 1 0.71 1 0.75 1
23063 0.54121319862984 0.79 1 0.69 0.999966555183947 0.8 0.999966555183947
24460 0.45977105478332 0.75 1 0.73 1 0.75 1
25563 0.375347181473223 0.78 1 0.71 1 0.78 1
26354 0.288343325491387 0.73 1 0.7 1 0.72 1
26849 0.220268911318857 0.77 1 0.71 1 0.76 1
26683 0.26009069444965 0.78 1 0.73 1 0.79 1
26986 0.189172163343956 0.76 1 0.7 1 0.76 1
26195 0.311777056690208 0.77 1 0.74 1 0.77 1
26594 0.265699029856359 0.71 0.999966555183947 0.68 1 0.71 0.999966555183947
25097 0.424154281388214 0.77 1 0.73 1 0.77 1
23327 0.537445878166931 0.82 1 0.74 1 0.81 1
25669 0.361915150570727 0.76 1 0.69 1 0.76 1
26100 0.324521072796935 0.73 1 0.68 1 0.73 1
26898 0.214476912781619 0.75 1 0.72 1 0.75 1
26296 0.312557042896258 0.78 1 0.74 1 0.78 1
27121 0.165664982854615 0.72 1 0.69 1 0.72 1
24705 0.439829993928355 0.83 1 0.77 1 0.83 1
24277 0.469580261152531 0.8 1 0.73 1 0.79 1
23590 0.506782534972446 0.79 1 0.75 1 0.79 1
25375 0.395073891625616 0.78 1 0.68 1 0.78 1
25488 0.379511927181419 0.8 1 0.74 1 0.8 0.999966555183947
24322 0.469821560726914 0.86 1 0.78 1 0.85 1
25576 0.384813888020019 0.79 1 0.74 1 0.78 1
26233 0.305226241756566 0.79 1 0.72 1 0.79 1
26545 0.269730646072707 0.73 0.999966555183947 0.69 1 0.73 1
26279 0.302522927052019 0.76 1 0.72 1 0.76 1
